St. Louis Cardinals
San Diego Padres
Arizona Diamondbacks
Seattle Mariners
Tampa Bay Rays
Toronto Blue Jays
Chicago Cubs
New York Mets
Athletics
Milwaukee Brewers
New York Yankees
Cincinnati Reds
San Francisco Giants
Texas Rangers
Miami Marlins
Cleveland Guardians
Pittsburgh Pirates
Minnesota Twins
Baltimore Orioles
Houston Astros
Los Angeles Dodgers
Chicago White Sox
Atlanta Braves
Detroit Tigers
Washington Nationals
Boston Red Sox
Philadelphia Phillies
Los Angeles Angels
Kansas City Royals
Colorado Rockies
